,transect_id,country_id,continent,country_name,changerate,changerate_unc,flag_sandy,no_shorelines,dt_annual,dist_annual,RMSE,outliers_1,outliers_2,Timespan,intercept,intercept_unc,Start_lon,Start_lat,Intersect_lon,Intersect_lat,End_lon,End_lat,coastline_idint,no_sedcomp,low_detect_shlines,err_changerate,err_timespan,color_cr,color_sandy
0,BOX_117_121_0,NLD,Europe,Netherlands,0.31,0.1300991233563726,other,31.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[929.9296367493945, 950.827504533188, 1247.1163439893853, 913.3091019645022, 939.5080899094218, 950.827504533188, 950.827504533188, 950.827504533188, 950.827504533188, 933.7881784881421, 941.6891764740626, 950.827504533188, 940.7445465885202, 930.478382668634, 950.5736863605747, 936.2394072585495, 933.206810287684, 950.827504533188, 942.6637611340354, 950.827504533188, 950.7559654027548, 950.6850051189184, 950.827504533188, 950.827504533188, 950.827504533188, 950.827504533188, 950.827504533188, 950.827504533188, 950.827504533188, 950.827504533188, 950.827504533188]",6.460767943473518,[2],[2],37.0,939.4233798132124,3.1659091503317454,-68.3954265227,12.295108783,-68.40103279649999,12.3019667269,-68.40663898380001,12.3088245649,8637.0,1.0,1.0,1.0,1.0,green,lightgrey
1,BOX_117_121_1,NLD,Europe,Netherlands,0.07,0.1242914444601322,other,31.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[942.6100702962765, 943.915055522753, 1487.2046228869453, 945.6891988061808, 924.5365866278485, 938.0512251243302, 945.6891988061808, 933.6336204522711, 943.915055522753, 938.0512251243302, 945.7543105572283, 943.915055522753, 945.6891988061808, 924.8979319197656, 936.5000594162314, 943.9435904134137, 902.4029193841001, 945.7107838902735, 930.848588505996, 925.6691342748362, 935.6618074513865, 936.5736810579942, 943.9435904134137, 943.915055522753, 943.9435904134137, 944.2370311550164, 942.6100702962765, 944.1493134788708, 944.1493134788708, 944.1493134788708, 943.915055522753]",6.431745852247123,[2],[15],37.0,938.6092518551688,2.982011542746576,-68.3985045575,12.292725445,-68.4045404821,12.2992259882,-68.41057633,12.305726448699998,8637.0,1.0,1.0,1.0,1.0,green,lightgrey
2,BOX_117_121_2,NLD,Europe,Netherlands,0.11,0.0918984316047612,other,31.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[1035.199051210048, 1035.199051210048, 1042.9533081612578, 1031.974579137069, 1021.7051491824641, 1035.199051210048, 1041.3394711776034, 1035.199051210048, 1035.199051210048, 1035.199051210048, 1035.199051210048, 1041.3394711776034, 1035.199051210048, 1035.199051210048, 1035.199051210048, 1035.378899508809, 1035.199051210048, 1035.199051210048, 1030.6761252457409, 1038.3000148420724, 1017.940080220584, 1021.4598639952833, 1041.3394711776034, 1041.3394711776034, 1041.3394711776034, 1042.5114848895387, 1035.199051210048, 1035.199051210048, 1041.3394711776034, 1041.3394711776034, 1035.199051210048]",4.9337455444334015,[],[20],37.0,1033.8083652347211,2.157101696140384,-68.4011792058,12.2899787644,-68.4076539598,12.2960629139,-68.4141286433,12.3021469973,8637.0,1.0,1.0,1.0,1.0,green,lightgrey
3,BOX_117_121_3,NLD,Europe,Netherlands,0.25,0.152486826836516,sand,31.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[1101.1987065151723, 1098.1029621044136, 1154.5020850470778, 1101.1987065151723, 1098.1029621044136, 1079.918045990274, 1103.887727566326, 1101.1987065151723, 1115.6992097749207, 1097.0946655448458, 1101.1987065151723, 1101.1987065151723, 1101.1987065151723, 1108.8007559263845, 1100.4442621942405, 1101.1987065151723, 1086.7627258823857, 1098.8276567747823, 1115.6992097749207, 1101.1987065151723, 1086.0600743900698, 1115.8393080108658, 1101.1987065151723, 1103.8439531512938, 1101.1987065151723, 1115.8393080108658, 1101.1987065151723, 1103.8439531512938, 1103.887727566326, 1103.887727566326, 1115.6992097749207]",7.902345162077958,[],[2],37.0,1096.662577757905,3.6535369567156097,-68.4028391287,12.2875141027,-68.4102441499,12.2924830911,-68.417649129,12.2974520514,8637.0,1.0,1.0,1.0,1.0,green,brown
4,BOX_117_121_4,NLD,Europe,Netherlands,-0.06,0.1478059540657693,sand,31.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[1093.3225005145339, 1093.3225005145339, 1093.3225005145339, 1093.3225005145339, 1074.7628882504594, 1080.6190295386152, 1080.6901240105706, 1084.584476765964, 1084.6286626159322, 1070.1220514021977, 1074.7628882504594, 1067.250692445301, 1070.0431901872614, 1068.389922007339, 1070.0431901872614, 1079.3185015789177, 1074.7628882504594, 1071.5873924262578, 1084.7174023280816, 1092.4131510284597, 1084.6286626159322, 1074.7628882504594, 1084.6286626159322, 1084.6286626159322, 1084.6286626159322, 1093.3225005145339, 1084.6286626159322, 1084.6286626159322, 1084.6286626159322, 1084.6286626159322, 1084.6286626159322]",7.986637901603091,[],[],37.0,1082.8979815361636,3.4874357141927885,-68.40398853890001,12.2849259183,-68.4121789278,12.2885311896,-68.420369302,12.2921364545,8637.0,1.0,1.0,1.0,1.0,red,brown
5,BOX_117_121_5,NLD,Europe,Netherlands,0.08,0.2576129565653417,sand,31.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[1213.0110123456486, 1131.1367033554625, 1161.5827259010853, 1131.1367033554625, 1152.0299778750893, 1131.1367033554625, 1131.1367033554625, 1150.9802609752815, 1155.5292872080092, 1128.6352948503263, 1147.1222097818304, 1127.1350473311868, 1131.163933374446, 1161.5827259010853, 1129.7834637461144, 1144.861880006131, 1131.1504575804781, 1161.5811406715213, 1131.1367033554625, 1156.140843835082, 1127.6301148339426, 1157.2873684373299, 1131.1367033554625, 1131.1367033554625, 1150.507037991842, 1156.2672869267426, 1131.1367033554625, 1127.6301148339426, 1131.1367033554625, 1157.2873684373299, 1155.9165280256989]",12.811410606346636,[],[0],35.0,1139.864365543889,6.178768473165013,-68.4048347458,12.2820397778,-68.4135020557,12.2843468123,-68.4221693662,12.286653847,8637.0,1.0,1.0,1.0,1.0,green,brown
6,BOX_117_121_6,NLD,Europe,Netherlands,-0.51,0.1665860291411809,sand,31.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[984.2343606280028, 996.3531502388327, 999.7838526366601, 982.8203635855365, 995.853302159108, 956.7068697849576, 982.8203635855365, 996.6724338253824, 978.1759305137875, 964.879959403171, 971.8969147467953, 971.8969147467953, 954.6062916166957, 971.8969147467953, 970.2914350724949, 971.807128033884, 973.219639422093, 971.8969147467953, 970.3309858303002, 971.5922959987255, 966.731697150746, 971.807128033884, 971.9692260515294, 971.8969147467953, 978.1759305137875, 978.1759305137875, 975.2851316294199, 970.3309858303002, 971.9692260515294, 971.9549408169878, 970.2659348773346]",9.001404796104246,[],[],37.0,986.2919208698146,3.930546914629875,-68.4054820051,12.2787847161,-68.4143714752,12.2800490649,-68.42326094939999,12.2813134143,8637.0,1.0,1.0,1.0,1.0,red,brown
7,BOX_117_121_7,NLD,Europe,Netherlands,-0.13,0.1344069112642926,sand,31.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[1013.6198467389329, 1013.6198467389329, 1014.2202524080774, 1013.6198467389329, 1013.6198467389329, 1014.2202524080774, 1025.6473580561758, 1025.421365110042, 1025.6473580561758, 1003.9405388582923, 1014.2202524080774, 1013.6198467389329, 1014.2202524080774, 1025.6157275761054, 1023.1557435217975, 997.9110069960112, 1020.3455701187477, 1013.6198467389329, 1009.8760551879031, 1025.6792980127514, 1001.9512013953229, 1025.6157275761054, 1013.6198467389329, 1013.6198467389329, 1014.2202524080774, 1014.554282327281, 1004.006682744903, 1001.9125248154094, 1014.2202524080774, 1014.2202524080774, 1014.2202524080774]",7.262622430879071,[],[],37.0,1017.4580836189648,3.1712902569361616,-68.4059430585,12.2754083831,-68.4149213348,12.2756975489,-68.4238996126,12.2759867147,8637.0,1.0,1.0,1.0,1.0,red,brown
8,BOX_117_121_8,NLD,Europe,Netherlands,-0.07,0.1116622460078103,sand,31.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[996.4982577714774, 996.4982577714774, 1191.9109891136072, 996.4982577714774, 1002.3584496384952, 988.5898069000309, 996.4982577714774, 1002.3584496384952, 996.4982577714774, 973.7838846328433, 1003.9245579294259, 989.1678277671093, 1003.9245579294259, 1003.9245579294259, 979.6508095294546, 988.5210458989307, 996.4982577714774, 996.4982577714774, 989.2487024703221, 998.1751372961251, 988.5210458989307, 995.6726937915071, 988.4459923925405, 997.1940343181188, 996.4982577714774, 1003.8711758598442, 996.4982577714774, 988.5208324559044, 996.4982577714774, 996.4982577714774, 995.6726937915071]",5.743694410770173,[2],[8],37.0,997.115508835493,2.7008303352902985,-68.4060910245,12.2710218436,-68.41506929810001,12.2713110141,-68.4240475787,12.2716001848,8637.0,1.0,1.0,1.0,1.0,red,brown
9,BOX_117_121_9,NLD,Europe,Netherlands,-0.0,0.0079844612984259,sand,31.0,"[0.0, 2.0, 6.0, 7.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0]","[851.802688594163, 851.9807618713355, 1873.0256051738218, 851.9863656334368, 852.0240992814272, 852.009271404071, 852.1890254695958, 852.0169750151179, 852.163526137649, 851.802688594163, 851.9863656334368, 851.9827399960346, 852.1684381860522, 844.3624619395889, 851.973733941452, 852.5978006184795, 850.6827693318994, 843.5327789925203, 852.6205275473001, 851.802688594163, 843.9119594998183, 851.9639488850546, 851.9522788532945, 851.9140976075088, 852.3442702608608, 852.2547451657439, 851.9863656334368, 850.6827693318994, 851.9827399960346, 851.9863656334368, 851.9792446301411]",0.4095867190716745,[2],"[12, 16, 19]",37.0,852.0369779748765,0.1914127292109585,-68.4062389905,12.266635231,-68.4152172639,12.2669244063,-68.4241955447,12.2672135819,8637.0,1.0,1.0,1.0,1.0,green,brown
